Id,Ball_Control,Dribbling,Marking,Sliding_Tackle,Interceptions,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Freekick_Accuracy
17103,42,55,46,52,51,63,64,59,50,61,51,57,45,26,27,28
6079,64,62,67,69,67,77,79,68,68,72,72,76,55,56,38,58
14401,62,67,21,29,21,79,73,72,62,79,73,46,43,63,57,41
16585,12,12,9,13,5,44,45,17,53,37,39,55,12,23,7,13
17119,49,56,25,32,19,72,78,47,51,70,67,49,35,58,53,38
10147,52,26,63,50,62,60,59,56,92,34,34,31,72,36,23,30
5922,22,14,13,13,22,45,47,21,57,54,30,56,18,19,17,13
10685,41,32,62,63,60,49,46,62,81,54,33,60,67,27,23,40
17412,46,47,35,47,39,60,65,56,55,65,51,55,47,53,26,30
14760,11,12,8,14,9,39,44,19,46,47,27,58,10,22,5,10
16752,16,19,14,11,18,43,43,33,73,34,35,54,17,21,14,12
2197,75,76,32,27,19,78,81,75,73,71,78,82,73,72,74,35
12617,58,49,26,22,21,60,61,61,70,53,58,73,70,63,64,26
15858,53,47,57,55,56,66,67,54,72,51,58,70,57,50,45,39
16516,48,43,11,11,11,57,58,54,61,65,54,66,56,53,58,29
8437,16,12,30,13,55,34,45,67,69,66,55,59,27,15,11,36
221,75,63,75,72,81,65,71,77,92,52,59,75,83,81,42,62
7245,72,79,27,36,34,84,85,67,65,74,81,56,38,69,51,57
2278,74,76,74,71,74,79,79,80,78,72,72,83,70,78,70,60
11996,59,61,62,66,58,64,67,67,58,71,51,57,58,33,29,58
1145,23,12,14,12,28,58,57,32,79,57,39,69,12,21,11,15
1156,65,43,77,77,79,68,68,73,84,56,62,80,78,49,35,25
13833,47,38,60,55,60,73,74,82,71,76,71,84,56,26,24,28
13122,61,65,20,24,40,84,88,74,58,89,82,70,48,69,54,57
531,84,80,67,69,78,69,75,78,86,59,68,85,86,78,68,66
11328,59,55,54,75,58,55,63,76,82,52,57,64,73,63,47,36
9240,71,65,66,58,73,61,70,63,73,66,62,56,59,66,35,46
5973,56,38,68,69,62,74,71,65,79,48,44,69,72,50,24,22
10330,65,67,34,36,39,81,79,54,54,85,82,77,49,64,51,46
7110,62,56,65,63,66,52,51,72,67,52,56,58,58,57,37,51
6703,20,15,13,14,16,37,40,32,60,56,34,60,17,16,19,20
3868,75,62,30,19,32,37,34,40,84,59,57,71,81,83,75,83
14073,42,39,53,56,52,81,82,60,72,53,52,72,64,64,16,20
14664,54,67,59,60,60,65,51,61,58,64,52,55,52,30,35,37
3570,74,73,53,56,66,64,70,79,82,53,60,59,62,83,60,62
12253,50,42,61,63,53,55,68,70,90,48,58,71,60,23,28,32
2727,69,71,64,73,65,88,85,92,67,77,81,81,55,74,42,48
3629,71,66,53,50,56,71,68,72,77,64,71,64,74,71,72,67
10941,46,54,64,63,65,70,68,64,78,55,58,71,57,42,33,26
7392,65,49,68,62,65,64,70,73,70,69,64,75,65,73,50,64
16755,52,54,14,15,11,70,73,71,60,70,71,52,44,49,53,32
3121,65,53,13,15,24,58,53,67,70,56,63,68,76,71,82,36
1399,65,59,79,75,76,55,69,65,90,34,55,55,70,68,29,40
14805,47,61,24,24,29,77,76,68,70,66,68,62,50,65,59,45
13733,57,53,53,50,62,50,61,65,83,66,68,70,51,60,58,61
11049,65,68,63,61,56,72,71,79,73,69,68,63,57,55,44,32
16327,57,53,48,52,59,57,59,65,78,48,56,56,55,52,43,30
3475,70,75,29,34,48,76,79,74,76,59,78,72,37,73,64,66
14403,42,37,59,56,50,78,66,57,74,40,67,77,62,40,19,29
15363,57,56,60,62,60,56,67,66,69,63,63,75,58,29,24,27
12241,64,66,19,16,17,86,85,65,61,70,78,76,55,64,65,53
7135,69,63,61,64,63,69,69,74,81,55,59,58,72,70,66,63
12467,61,59,63,58,58,64,70,71,71,73,70,60,57,49,29,20
5593,32,38,69,73,65,69,66,78,73,65,51,72,71,42,34,27
16908,46,47,33,40,20,72,75,41,44,65,63,55,44,43,51,42
6888,73,70,40,58,32,61,68,51,57,71,66,52,53,59,54,61
14879,60,58,18,12,11,68,64,63,60,65,70,66,55,65,58,31
2803,68,59,72,72,66,60,67,72,76,52,61,75,73,67,42,29
2266,68,71,67,76,77,68,75,78,78,53,54,72,80,64,49,46
16687,52,55,52,53,45,73,63,52,54,72,56,53,47,44,48,54
9215,64,66,50,39,42,73,72,66,84,42,56,37,66,72,67,61
7667,24,28,31,33,36,46,70,73,75,49,74,46,50,32,34,34
7868,74,68,43,51,59,69,61,62,51,82,76,82,43,60,42,56
6053,72,71,12,10,56,74,69,62,67,78,76,72,55,68,62,75
2922,53,54,72,71,71,73,70,87,89,64,65,75,73,65,57,42
9576,55,37,67,65,66,33,32,72,75,45,29,63,71,39,29,26
11462,66,70,21,28,29,87,84,61,58,86,87,76,29,53,54,25
11438,58,58,61,64,60,70,70,72,68,68,64,70,54,68,35,55
7337,69,65,71,68,48,68,69,91,72,66,71,72,36,71,59,57
17097,30,26,45,51,50,64,68,63,66,53,43,70,52,35,17,29
1026,76,65,33,27,41,67,65,74,64,60,79,79,80,75,82,54
10066,68,67,56,64,66,76,68,73,62,74,80,86,57,67,32,73
4906,65,63,73,63,73,78,77,80,73,71,63,59,59,68,59,31
10972,18,16,19,16,25,42,41,42,75,43,37,54,16,20,13,14
3689,73,74,47,28,36,74,75,82,65,70,72,50,49,79,64,74
5871,74,66,11,11,13,55,65,67,90,55,56,70,72,73,71,26
5563,74,75,18,22,31,74,75,62,68,62,63,63,66,69,60,40
14306,35,30,56,56,60,62,61,73,83,50,35,74,57,38,25,21
1727,55,32,75,64,74,32,47,67,92,26,36,68,73,54,51,45
14589,14,13,5,13,10,19,17,21,40,46,28,58,13,21,8,14
4011,74,71,40,36,54,70,70,67,45,79,74,71,59,63,56,80
1624,56,44,77,76,72,56,61,61,76,63,54,82,72,61,43,55
4305,78,72,24,23,29,66,64,78,62,79,71,57,45,68,58,75
11927,58,62,61,62,53,78,77,60,55,81,77,60,53,56,48,46
7702,32,25,16,19,10,41,44,34,70,44,62,77,21,21,13,21
13526,59,63,59,58,56,77,74,70,58,79,71,64,55,42,38,43
17237,46,40,48,44,44,61,58,58,60,56,53,62,56,44,40,54
1655,78,76,60,68,62,84,78,88,74,86,82,78,56,80,58,60
11880,62,65,67,65,62,68,67,63,57,64,66,64,55,35,36,42
12869,59,56,59,59,64,60,63,72,70,58,55,70,48,39,26,32
13840,60,58,62,59,49,59,63,58,75,73,32,47,53,60,61,32
5494,59,52,70,71,60,37,40,58,74,46,40,76,76,64,52,52
16764,54,51,12,25,15,58,60,51,39,62,61,67,38,55,58,31
6974,64,60,65,65,64,77,83,88,80,73,70,82,67,42,24,30
12438,47,36,62,62,51,34,38,62,82,52,44,75,64,49,41,41
12672,65,70,21,38,19,89,86,71,61,76,88,68,47,50,60,41
13381,60,61,22,28,19,79,76,61,58,79,74,67,52,56,61,60
4479,50,42,66,67,67,51,59,61,91,39,46,67,72,66,22,29
6776,62,50,65,73,64,63,69,84,80,54,55,83,63,65,46,34
4181,74,70,26,18,54,77,74,67,63,53,70,60,68,67,74,38
6152,69,63,64,62,69,74,76,73,74,84,83,81,53,71,48,48
17126,49,49,33,52,42,64,55,56,40,63,58,57,50,59,30,34
5148,69,61,45,61,70,68,69,75,72,64,68,68,38,67,54,69
11962,42,31,63,60,63,72,72,71,74,54,46,74,60,35,19,25
4682,67,52,74,68,61,64,63,65,80,53,40,74,66,48,28,28
4908,65,65,59,59,78,68,62,76,67,69,69,70,65,60,30,60
14168,44,31,57,61,54,53,61,70,80,68,63,70,46,42,21,24
16314,51,43,45,52,49,71,72,69,70,60,70,72,47,58,37,38
13350,57,58,58,57,62,64,63,72,67,66,61,63,50,49,26,32
578,80,85,24,20,31,91,89,78,80,83,83,74,55,88,72,90
17142,50,47,40,45,42,68,72,67,41,74,75,60,42,47,29,34
15613,61,55,49,47,44,61,68,59,62,65,54,51,47,55,42,50
14629,55,56,18,11,15,66,63,60,74,68,65,58,55,60,59,36
2119,75,70,74,72,75,71,69,76,75,75,69,60,67,74,54,42
3892,22,24,13,13,17,15,16,13,44,30,28,35,24,18,19,13
2821,77,75,74,76,72,68,75,55,75,64,69,66,68,76,38,79
14137,63,64,60,63,55,64,65,62,62,65,69,66,55,64,42,55
13913,58,68,27,29,20,80,68,60,48,68,73,41,41,57,59,40
5841,73,69,41,21,33,91,88,67,69,84,89,65,56,66,68,51
563,79,78,60,65,70,67,67,76,64,70,75,52,54,86,77,59
6709,65,65,65,62,64,80,82,79,68,77,71,64,60,70,40,38
2660,70,67,31,23,25,54,69,71,82,42,67,70,73,75,75,49
2734,68,75,24,27,32,91,94,77,61,88,92,60,51,75,73,46
7990,71,68,49,55,65,73,68,78,72,55,56,65,51,62,57,40
5173,21,12,13,12,10,30,31,29,48,37,43,41,12,21,12,12
15955,13,13,5,14,8,17,24,17,56,46,38,58,11,21,6,13
6777,59,64,35,39,45,83,81,77,68,70,70,91,64,71,64,73
1138,61,39,82,70,74,54,68,64,85,49,58,81,76,45,32,46
3626,62,39,71,72,67,65,74,74,83,67,66,71,72,38,23,55
1393,72,75,28,34,20,67,69,73,75,69,67,66,60,76,79,51
6414,63,48,64,64,65,32,33,43,85,52,37,54,77,68,40,35
11200,66,70,46,38,68,50,55,34,56,84,76,46,47,59,54,70
6711,61,58,71,70,74,69,69,66,71,59,55,73,57,48,25,27
8838,61,75,26,22,25,65,73,62,74,59,77,65,66,60,67,44
1886,70,72,74,73,69,79,86,88,72,65,74,71,64,75,55,53
2218,74,72,64,73,67,76,68,90,60,63,75,75,60,74,50,76
16953,47,44,57,53,52,61,58,72,73,64,58,55,52,23,25,28
2499,21,10,19,12,13,49,39,30,45,27,38,65,10,23,10,10
10615,55,35,65,60,65,46,50,69,70,62,55,72,64,59,34,24
3933,71,75,52,49,58,83,80,67,52,81,78,69,50,46,58,74
