Id,Name,Ball_Control,Dribbling,Marking,Sliding_Tackle,Interceptions,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Freekick_Accuracy
17113,Chinglensana Singh,29,38,46,53,48,71,73,58,76,48,62,71,48,31,21,27
8661,Josimar Feijoo,56,48,62,65,72,72,62,86,71,73,61,81,55,69,44,36
9881,Pape Abou Cissé,36,31,63,65,64,64,54,73,75,38,47,59,61,44,23,33
3233,Clayton Fildeiras,75,72,50,48,63,66,76,80,66,75,73,72,62,77,66,74
1766,Diego Demme,73,71,63,66,77,68,53,92,65,85,88,82,55,64,21,62
6553,Daisuke Kikuchi,71,70,24,29,37,83,85,90,60,77,80,69,38,64,57,59
9002,Gastón Díaz,61,60,64,67,63,67,53,68,71,68,74,60,59,67,54,66
8530,Juande,62,58,57,64,69,70,65,77,72,51,63,63,52,49,32,55
14904,Jaushua Sotirio,57,56,20,23,34,79,86,63,65,81,85,62,38,49,47,33
9000,Sander Svendsen,67,68,30,32,26,77,72,64,50,82,72,75,64,65,66,55
15018,Emanuel Schreiner,63,58,63,65,58,72,76,73,63,64,71,60,47,46,36,23
2073,Matheus Pereira,76,80,25,31,39,86,84,68,57,88,83,66,43,77,72,69
16279,Marcin Wasielewski,45,55,58,60,55,61,59,55,43,71,56,62,44,26,21,46
16397,Adam Frizzell,58,57,38,45,29,62,67,53,43,76,70,54,40,55,37,37
9638,Jérémie Bréchet,57,27,67,65,64,21,21,54,75,47,24,64,69,59,37,60
12892,Jordan Allen,64,63,45,59,60,69,76,65,60,70,78,72,52,54,54,43
13016,Daniel Bachmann,22,14,16,11,26,50,55,36,64,44,60,57,12,21,17,20
1673,Djavan,74,75,71,73,71,80,78,83,76,61,73,72,64,74,37,40
11215,Kasper Pedersen,50,42,64,63,57,66,54,62,72,58,54,73,69,50,31,34
2848,Ben Rienstra,75,71,67,67,65,65,62,84,74,70,64,72,68,73,62,52
13058,Liam Polworth,64,62,42,45,55,72,70,66,57,80,73,46,46,56,49,52
6593,Adão Salvadaldo,71,77,22,23,30,78,75,55,49,84,87,66,61,66,72,52
2658,Manuel Locatelli,78,74,64,68,74,65,69,79,65,55,69,59,68,76,54,60
4819,Tim Leibold,65,74,59,68,59,86,84,73,64,85,85,78,56,64,55,52
12584,Hélton Carvalhal,43,45,27,28,35,33,34,42,86,51,40,37,72,72,71,35
623,Canales,82,80,14,16,46,65,63,48,56,69,70,34,38,61,75,78
14167,Andy Faustin,60,63,23,23,25,71,68,67,62,65,60,54,57,65,63,42
16573,Antonio Rosti,11,6,7,10,8,16,27,22,60,32,28,48,12,19,6,14
8827,Matías Vega,16,11,13,14,13,32,36,34,55,47,34,53,14,23,19,18
14713,Aitor Pascual,57,51,54,60,61,64,67,56,31,74,76,61,50,25,24,28
14066,Erik Næsbak Brenden,58,64,27,30,16,78,79,76,46,73,79,47,41,58,54,42
5037,Ricardo Dias,65,68,66,65,70,51,52,81,77,59,60,55,64,62,42,45
16039,Teddy Bergqvist,46,42,15,15,10,71,68,65,57,75,65,70,58,58,63,29
3018,Konstantin Vassiljev,74,71,58,61,41,62,55,61,63,76,72,58,47,77,70,75
6783,Matt Targett,61,64,64,68,66,77,78,68,63,65,72,61,56,34,36,62
481,Branislav Ivanović,66,58,87,83,82,63,66,78,85,47,57,83,87,73,57,48
6339,Andrea Rossi,62,59,60,66,70,73,81,83,49,72,67,43,51,54,24,42
107,Sami Khedira,81,78,76,78,86,63,69,79,91,55,59,69,76,84,70,68
11820,Hakan Demir,63,62,44,37,61,66,68,73,59,76,67,72,41,67,42,52
16301,Sidad Najah Chooly,57,62,41,42,29,63,67,45,47,75,57,50,47,51,39,40
9755,Yoshiki Takahashi,67,53,66,64,66,58,56,71,57,79,86,79,54,46,54,35
9910,John Varela,60,72,30,37,30,92,90,63,30,93,86,84,34,50,57,38
3253,Daniel Buitrago,70,74,13,26,19,76,72,56,66,70,74,53,34,70,66,64
11525,Manuel Seidl,65,61,57,61,63,65,69,80,74,59,60,56,59,81,50,71
15792,William Boyle,33,28,56,58,57,59,57,58,72,57,42,70,53,37,25,27
8764,Martin Polaček,19,13,16,18,23,39,44,31,75,28,34,50,14,24,19,17
707,Marcus Rashford,79,83,22,25,38,92,90,79,61,76,86,66,68,75,76,65
15698,Carl Johansson,56,58,42,41,43,72,66,52,38,76,72,55,34,43,39,43
12821,Pablo Cuevas,55,51,55,66,53,68,70,75,56,64,66,61,43,21,28,27
1676,Marios Oikonomou,64,56,78,74,76,55,65,62,84,44,50,76,74,56,14,22
16994,Daniel Matsuzaka,32,28,45,57,46,59,55,62,67,47,34,70,55,39,23,22
7683,Vasco Costa,65,69,18,17,18,77,79,54,74,57,68,70,61,69,66,39
3556,Dennis Appiah,60,57,74,75,69,71,72,90,70,72,72,86,66,41,33,44
10740,Claudio Morra,64,64,20,20,19,66,67,55,71,57,57,63,54,64,66,28
3684,Mohammed Abdellaoue,69,67,38,23,42,69,71,57,71,69,72,75,68,72,70,57
8451,Santamaría,15,12,14,11,22,48,46,42,62,60,49,72,20,25,20,20
16649,Koki Shimosaka,46,45,46,52,51,78,74,67,60,75,70,65,38,37,28,30
11078,Lucas Suárez,55,49,67,69,61,68,67,69,74,55,53,73,67,46,22,31
8136,Joe Newell,64,67,56,63,54,76,78,59,62,59,81,41,62,60,59,68
1484,Dejan Damjanović,72,68,20,23,35,78,77,65,85,63,77,79,80,78,75,66
12594,Andrea Zaccagno,16,5,5,10,12,17,31,40,37,43,72,63,14,22,9,14
1370,Ibai Gómez,80,81,45,55,45,77,75,69,65,77,82,64,47,82,73,81
11991,Guillermo Cubillos,47,44,66,65,55,63,59,67,67,76,56,64,61,32,18,22
976,Jhon Córdoba,73,75,28,31,49,76,85,77,90,74,66,75,74,82,73,54
2833,Álvaro,76,74,13,25,33,68,70,65,72,67,72,71,66,80,73,54
11578,Mathieu Ligoule,62,56,63,53,65,52,55,71,52,60,62,51,39,50,57,56
14172,Célestin Djim,59,67,23,25,23,75,72,72,83,63,73,62,33,58,65,30
5842,Michael Ríos,70,66,51,26,52,72,67,79,57,69,68,61,47,70,63,75
1866,Mubarak Wakaso,73,73,52,69,69,89,87,86,72,83,83,83,47,85,55,57
13307,Giulio Maggiore,60,56,55,59,57,60,60,63,64,63,53,61,48,57,45,42
5176,Juan Agudelo,70,69,29,26,32,78,79,63,70,51,81,80,67,75,65,51
11777,Idrissa Doumbia,68,63,53,58,53,63,66,73,78,62,65,64,61,56,26,41
3521,Ledian Memushaj,73,72,54,62,71,76,68,76,62,88,82,59,44,65,52,67
3077,Jorge Ortiz,75,69,68,52,72,73,72,75,63,71,68,77,64,77,55,65
9888,Luciano Ospina,42,28,61,62,53,55,53,64,90,48,41,66,69,37,16,22
9789,Vedran Jugović,69,66,56,58,54,75,71,71,64,70,72,66,55,60,64,55
7442,Jerome Thomas,69,69,33,30,56,74,70,56,59,69,68,48,48,66,62,27
16950,Max Watson,33,24,48,51,52,47,54,57,72,52,46,73,49,35,18,21
16881,Baboucarr Gaye,15,8,9,12,6,18,24,22,62,22,22,36,13,18,5,12
9394,Adam Chicksen,63,60,61,63,62,78,76,69,61,70,61,62,51,59,51,29
948,Yuriy Lodygin,17,20,14,19,23,49,40,27,69,51,34,53,15,19,21,12
2595,Benjamin Meseira,71,67,67,69,70,77,81,85,71,67,70,64,52,70,34,47
16390,Josh Pask,42,32,52,49,51,67,66,59,64,52,54,63,55,38,21,26
17520,Alberto Corasaniti,13,5,8,14,7,24,28,25,42,48,31,58,10,23,6,11
6028,Mats Seuntjens,72,69,57,59,59,66,74,77,77,73,68,76,66,69,70,48
15689,Dean Lyness,23,13,15,14,12,54,53,29,55,49,22,46,12,23,13,12
11961,Oliver Berg,63,64,48,48,54,69,72,80,63,68,63,55,42,70,60,40
15871,Ahmed Al Suhail,63,54,35,33,35,67,68,73,67,59,64,60,28,43,54,47
6149,António Filipe,13,11,11,11,18,36,31,33,59,31,42,68,15,20,11,14
14962,Aaron Williams,52,51,23,22,20,68,73,84,78,59,56,71,55,64,60,39
3902,Luka Jović,76,74,21,16,23,74,77,64,68,63,70,60,64,77,68,38
55,Edinson Cavani,80,80,24,27,48,76,79,90,74,59,82,88,88,85,85,74
13139,Ryan Donaldson,63,60,38,43,40,72,71,74,58,70,72,69,37,64,55,58
13495,Jeremy Helmer,65,62,44,45,35,68,63,42,44,78,73,55,32,40,52,58
10591,Imad Khalili,64,63,40,43,32,65,61,59,69,71,64,80,68,68,60,61
5369,Tamás Priskin,66,57,35,33,34,66,63,51,81,43,48,70,72,75,75,49
8057,Nick DeLeon,66,67,59,54,59,79,69,72,64,66,71,57,55,76,57,63
9060,Pa Konate,59,64,68,71,62,76,77,80,56,71,76,72,45,49,35,42
6165,Thomas Schrammel,63,61,67,67,62,77,81,73,67,74,77,82,51,51,54,38
9516,David Forde,20,19,20,19,26,47,42,38,71,43,33,70,20,23,12,13
2572,Timmy Simons,68,57,70,71,83,32,37,80,76,59,44,61,75,71,54,64
9660,Fabricio Bustos,63,67,61,65,55,75,74,73,41,72,71,55,54,61,44,32
7143,Abdallah El-Said,74,58,40,27,42,76,71,64,54,71,79,53,64,78,68,76
2117,Guillermo Maripán,57,40,76,70,64,54,54,60,90,31,31,65,74,56,28,27
15980,Cameron Pring,40,55,40,56,56,77,75,75,60,60,61,62,41,28,31,28
2852,Arbilla,72,63,72,72,72,60,72,75,77,67,59,79,70,81,40,70
15469,Damian Piotrowski,51,51,27,35,46,76,73,60,53,73,74,34,32,52,48,49
13441,Roberto Núñez,65,50,19,29,21,63,59,54,48,73,75,68,59,66,68,44
10539,Sim Woo Yeon,57,52,65,56,56,47,32,67,90,34,32,58,78,60,55,51
1182,Agustín Orión,20,13,16,16,23,44,44,37,73,52,49,55,13,12,13,11
8222,Nika Dzalamidze,67,70,22,35,42,87,85,60,57,85,84,83,61,54,55,58
12004,Raúl Castro,62,58,59,59,67,64,55,82,29,66,59,64,60,46,30,35
13594,Marlon Ritter,63,70,18,12,12,78,67,55,53,79,77,70,46,73,60,69
6986,Chuli,70,70,28,22,40,76,84,63,68,70,81,67,59,70,66,43
4502,Sastre,68,59,52,61,69,59,60,76,70,71,74,70,59,60,53,74
48,Thomas Müller,82,75,31,44,58,76,79,90,67,72,77,81,82,77,87,59
17273,Jared Bird,53,46,44,51,48,61,58,49,45,52,57,57,50,49,29,35
3829,Gonçalo Brandão,58,53,76,68,76,53,49,33,82,64,56,60,70,69,25,63
7502,David Martin,30,16,15,12,15,42,36,38,70,40,59,60,18,23,15,19
50,Thiago,91,90,49,62,74,77,68,74,59,85,90,75,58,75,69,77
1826,Paul Lasne,76,73,73,72,76,69,70,73,73,66,70,70,66,79,73,63
17241,Ryohei Michibuchi,57,49,38,40,43,62,63,67,73,68,61,70,60,45,37,31
2644,Valentin Rongier,76,72,40,62,66,72,61,71,55,90,81,72,41,71,53,62
8426,Ahmed Fathi,66,67,55,66,67,77,74,70,66,65,73,57,50,72,59,35
15486,Jonathan Smith,52,49,51,55,67,64,68,82,76,67,70,72,52,51,48,41
9246,Zeli Ismail,69,74,18,24,30,88,84,56,56,72,74,34,27,44,56,64
17377,Nathan Smith,33,21,43,56,45,70,74,68,65,72,53,71,44,37,22,20
11358,Moritz Kuhn,64,63,63,67,61,76,85,71,59,76,71,67,55,55,44,44
11786,José Luis Gamonal,15,15,21,28,30,35,21,29,71,47,55,69,17,33,20,18
9137,Kornel Osyra,56,32,69,64,68,62,64,73,72,56,44,69,63,41,55,31
2081,Arturo Mina,62,47,71,65,71,57,65,66,91,53,40,67,79,52,30,41
9198,Alberto Almici,67,58,59,62,52,75,80,79,73,59,68,64,55,62,17,48
14417,Dramane Konate,49,43,56,60,59,61,63,55,69,58,55,66,55,35,15,22
16843,Max Smallcombe,50,44,41,42,53,67,68,68,48,64,62,53,46,57,51,53
16120,Marc Bola,60,63,59,57,52,72,70,56,61,66,58,57,40,23,21,26
11554,Marcus Hansson,54,50,59,62,56,49,58,81,82,42,55,51,61,65,43,39
15729,Fredrik Michalsen,54,49,52,55,52,69,67,55,59,61,63,61,49,58,47,47
131,Roberto Firmino,83,87,30,42,37,79,79,86,76,81,82,81,73,79,82,67
4788,Emil Berggreen,70,67,19,22,26,54,64,62,88,59,54,70,72,72,70,68
15641,Dubán Martínez,47,58,17,14,14,75,74,52,55,77,65,72,59,54,58,34
1909,Alessio Cerci,80,79,24,24,41,82,84,44,76,77,73,66,59,72,68,74
13898,Adam Najem,59,56,32,35,31,70,71,68,53,76,69,58,42,61,52,55
11672,Espen Hoff,65,64,43,21,42,72,72,63,63,81,75,59,54,72,63,63
922,Yeray,69,53,72,81,82,66,69,73,76,76,55,75,75,69,41,50
4506,Roy Beerens,75,75,18,23,21,80,73,68,41,86,85,63,35,58,64,62
3004,Mandla Masango,80,74,34,21,24,84,78,63,34,80,84,78,69,67,73,62
13032,Oh Ban Seok,29,24,60,59,58,48,39,61,84,41,68,75,68,34,21,28
8869,Kristoffer Ajer,66,66,58,55,61,70,69,82,80,44,52,58,64,66,67,56
957,Daniel Torres,72,71,63,74,82,59,57,80,76,56,68,79,61,73,55,50
15781,Federico Serraiocco,22,21,15,12,19,43,41,24,76,44,35,68,16,25,18,17
12037,Cole Kpekawa,59,59,62,63,58,77,76,65,75,48,65,67,55,61,41,31
5839,Juan Cavallaro,67,72,32,36,39,79,76,62,65,78,79,30,43,68,65,41
5395,Rhys Williams,62,57,67,67,71,63,67,68,77,59,56,71,66,68,43,36
3115,Manuel Pasqual,75,70,70,72,70,68,68,68,66,72,72,74,58,72,46,76
15245,Duman Herrera,59,57,19,12,23,67,63,81,41,83,71,71,58,49,62,32
12447,Seo Dong Hyeon,64,54,35,31,32,71,62,69,54,56,69,64,63,64,62,55
61,Cesc Fàbregas,86,80,60,62,50,65,62,80,64,77,65,68,74,77,76,81
2943,Marko Vejinović,75,64,58,52,67,49,70,70,66,63,69,78,71,81,52,80
17489,David Bates,35,27,42,47,47,56,62,57,52,73,42,74,44,32,18,26
10764,Michael Ambichl,65,61,52,56,64,73,65,67,63,73,73,58,48,56,47,37
4681,Alexis Soto,60,78,73,83,65,69,73,78,47,70,79,72,44,32,25,41
2648,Juan Martín Lucero,71,71,19,18,25,84,80,57,68,71,84,71,73,71,71,41
8410,Aydın Karabulut,68,76,34,35,26,76,75,66,71,71,75,68,44,71,55,58
11854,Roni Peiponen,57,57,55,58,56,77,76,74,48,72,75,73,52,56,42,31
17291,Owen Dale,47,39,17,18,12,74,76,54,56,65,57,61,45,45,55,45
11030,José Huentelaf,60,62,18,19,15,77,81,70,70,73,75,58,64,49,68,47
13977,Javi Díaz,24,25,15,14,17,58,55,28,44,42,63,66,12,39,15,23
10566,Cristián Canío,69,65,30,41,38,55,52,61,63,62,61,65,59,65,60,63
14714,Juan Andrada,61,51,50,64,61,59,56,45,59,59,51,63,52,56,40,46
5830,Iván Etevenaux,71,72,30,31,28,73,74,53,45,76,76,69,45,66,67,73
14031,Ivo Chaves,54,50,53,64,58,77,76,62,59,73,52,59,45,42,45,38
68,Romelu Lukaku,79,76,27,30,27,81,89,80,93,48,62,71,83,88,87,66
9870,Ludcinio Marengo,64,68,20,22,21,88,86,70,53,80,88,66,23,45,51,34
13026,Héctor Cuevas,55,53,24,20,17,46,56,55,78,58,54,72,66,56,66,29
11688,Sarriegi,70,58,52,57,52,64,60,68,61,65,56,63,42,56,44,43
8944,Facundo Cardozo,51,48,64,66,63,73,69,73,76,61,59,85,62,45,29,29
11642,Ben Davies,69,67,53,60,57,69,64,73,82,81,62,79,51,64,62,69
15473,Jonathan Franks,60,57,11,38,44,74,73,76,56,77,76,72,54,61,46,55
9596,Mauro Rosales,72,66,34,39,45,59,62,53,56,75,63,52,52,67,56,73
16883,Bartosz Mrozek,24,14,12,14,19,34,34,26,61,25,21,31,12,17,7,14
8560,Ian Henderson,70,70,20,28,33,65,67,68,69,75,74,65,50,63,69,66
15833,Tom Beere,55,55,43,49,48,68,73,68,65,68,64,65,58,56,48,39
2951,Maximiliano Caire,60,78,69,77,75,87,84,90,67,77,76,86,78,51,28,41
14213,Macaulay Gillesphey,53,36,59,65,57,55,55,64,59,68,43,74,58,46,28,37
8039,Robin Pröpper,63,51,69,64,64,61,62,66,77,55,65,65,66,76,36,67
3403,Elsinho,75,76,65,70,64,75,75,90,84,59,72,72,57,68,64,33
16125,Esteban Ruiz,20,13,20,11,25,47,46,36,62,35,36,53,16,25,14,12
6866,Clint Irwin,24,16,20,18,24,48,44,33,76,34,54,61,19,24,18,14
11905,Omar Duarte,63,67,17,10,24,78,74,70,56,65,73,63,43,53,68,26
8446,Kevin Lejeune,68,66,36,41,22,66,67,68,66,61,74,57,41,59,51,68
13339,Enrique Serje,55,56,65,62,59,67,63,70,58,67,69,61,52,45,43,36
12286,David Babunski,72,65,50,53,49,70,74,56,63,77,80,59,59,54,57,63
3632,Lillo,62,52,73,78,75,67,69,79,70,75,61,73,56,55,46,47
3209,Porphirinho,67,72,71,72,72,71,75,77,67,66,77,69,66,53,55,64
8488,Dan Kennedy,17,16,19,14,21,46,51,33,77,43,34,65,10,23,15,12
9986,Dimitri Oberlin,63,70,36,50,23,81,75,65,67,65,70,64,55,64,66,45
4958,Giorgos Koutroubis,56,47,74,71,66,50,53,66,78,47,40,74,65,67,25,22
17514,Luke Coddington,25,18,19,18,24,45,48,38,60,65,60,55,14,24,17,15
10384,Ercüment Kafkasyalı,21,11,12,14,28,41,49,38,62,54,54,76,15,13,11,16
9202,Rayan Frikèche,68,54,52,56,62,47,54,83,75,57,65,63,42,60,50,65
3069,Jonathan Fabbro,77,74,35,25,41,69,62,54,82,50,72,51,63,79,70,80
6870,Gonçalo Silva,41,40,68,68,67,62,64,64,71,57,57,79,67,48,28,36
15274,Mateusz Hewelt,17,13,21,19,23,47,42,24,40,66,30,60,13,30,10,17
15721,Adetayo Edun,55,64,42,41,45,75,73,63,43,76,79,56,43,37,34,30
15169,Steve Ryckaert,53,37,55,58,48,62,62,55,68,59,60,67,59,38,19,30
5543,Luke Steele,21,14,20,11,22,50,51,38,55,58,65,70,19,24,19,18
777,Mexer,66,59,79,77,79,68,69,74,79,64,67,75,76,49,44,32
8829,Kevin Méndez,66,64,19,13,28,76,75,62,53,81,61,61,44,72,64,43
11167,Constantin Nica,62,47,49,64,59,68,68,75,70,75,72,69,70,65,25,53
343,Martín Cáceres,65,60,86,81,86,79,83,75,75,79,81,93,76,70,37,41
5141,Mathias Wittek,54,41,68,67,66,54,69,68,87,44,52,59,70,66,32,50
8834,Rodrigo Noya,45,41,64,57,61,46,57,57,89,30,43,69,69,59,26,27
1702,Arthur Masuaku,76,78,73,73,66,85,83,75,76,74,77,69,60,77,69,48
17169,Alex Pike,44,43,52,53,46,69,65,50,59,67,58,68,50,33,20,29
4745,Damián Lemos,60,56,66,74,73,66,69,78,73,60,64,74,72,46,37,53
4826,Jorginho,73,71,14,20,30,79,78,81,58,69,76,68,33,74,66,31
14944,Ulrik Yttergård Jenssen,65,55,53,52,53,55,65,55,62,66,58,56,49,58,47,46
16814,José Guzmán,42,47,25,35,37,70,74,59,52,69,65,58,45,45,48,37
701,Diego Benaglio,22,16,10,14,22,42,44,43,76,47,44,71,15,22,12,13
17103,Kyron Stabana,42,55,46,52,51,63,64,59,50,61,51,57,45,26,27,28
6079,Pierre Sagna,64,62,67,69,67,77,79,68,68,72,72,76,55,56,38,58
14401,Diego De Girolamo,62,67,21,29,21,79,73,72,62,79,73,46,43,63,57,41
16585,Jiri Koski,12,12,9,13,5,44,45,17,53,37,39,55,12,23,7,13
17119,Yao Dieudonne,49,56,25,32,19,72,78,47,51,70,67,49,35,58,53,38
10147,Janeiler Rivas,52,26,63,50,62,60,59,56,92,34,34,31,72,36,23,30
5922,Paul Reulet,22,14,13,13,22,45,47,21,57,54,30,56,18,19,17,13
10685,Nathan Clarke,41,32,62,63,60,49,46,62,81,54,33,60,67,27,23,40
17412,Gaius Makouta,46,47,35,47,39,60,65,56,55,65,51,55,47,53,26,30
14760,Numan Bostan,11,12,8,14,9,39,44,19,46,47,27,58,10,22,5,10
16752,Ahmad Al Harbi,16,19,14,11,18,43,43,33,73,34,35,54,17,21,14,12
2197,Munas Dabbur,75,76,32,27,19,78,81,75,73,71,78,82,73,72,74,35
12617,Iacopo Cernigoi,58,49,26,22,21,60,61,61,70,53,58,73,70,63,64,26
15858,Hugh Douglas,53,47,57,55,56,66,67,54,72,51,58,70,57,50,45,39
16516,Tobias Gran,48,43,11,11,11,57,58,54,61,65,54,66,56,53,58,29
8437,Dimitris Kyriakidis,16,12,30,13,55,34,45,67,69,66,55,59,27,15,11,36
221,Grzegorz Krychowiak,75,63,75,72,81,65,71,77,92,52,59,75,83,81,42,62
7245,Rajiv van La Parra,72,79,27,36,34,84,85,67,65,74,81,56,38,69,51,57
2278,Bryan Dabo,74,76,74,71,74,79,79,80,78,72,72,83,70,78,70,60
11996,Federico Dimarco,59,61,62,66,58,64,67,67,58,71,51,57,58,33,29,58
1145,Rémy Riou,23,12,14,12,28,58,57,32,79,57,39,69,12,21,11,15
1156,Curtis Davies,65,43,77,77,79,68,68,73,84,56,62,80,78,49,35,25
13833,Dean Winnard,47,38,60,55,60,73,74,82,71,76,71,84,56,26,24,28
13122,Ashley Hemmings,61,65,20,24,40,84,88,74,58,89,82,70,48,69,54,57
531,Sergej Milinković-Savić,84,80,67,69,78,69,75,78,86,59,68,85,86,78,68,66
11328,Tom Pettersson,59,55,54,75,58,55,63,76,82,52,57,64,73,63,47,36
9240,Daniel Amora,71,65,66,58,73,61,70,63,73,66,62,56,59,66,35,46
5973,Kasper Larsen,56,38,68,69,62,74,71,65,79,48,44,69,72,50,24,22
10330,Raffael Korte,65,67,34,36,39,81,79,54,54,85,82,77,49,64,51,46
7110,Federico Vismara,62,56,65,63,66,52,51,72,67,52,56,58,58,57,37,51
6703,Gabriel Arias,20,15,13,14,16,37,40,32,60,56,34,60,17,16,19,20
3868,Rickie Lambert,75,62,30,19,32,37,34,40,84,59,57,71,81,83,75,83
14073,Ko Itakura,42,39,53,56,52,81,82,60,72,53,52,72,64,64,16,20
14664,Kahraman Demirtaş,54,67,59,60,60,65,51,61,58,64,52,55,52,30,35,37
3570,Pajtim Kasami,74,73,53,56,66,64,70,79,82,53,60,59,62,83,60,62
12253,Mory Koné,50,42,61,63,53,55,68,70,90,48,58,71,60,23,28,32
2727,Cifuentes,69,71,64,73,65,88,85,92,67,77,81,81,55,74,42,48
3629,Marcelo Toscano,71,66,53,50,56,71,68,72,77,64,71,64,74,71,72,67
10941,Alban Pnishi,46,54,64,63,65,70,68,64,78,55,58,71,57,42,33,26
7392,Patricio Araujo,65,49,68,62,65,64,70,73,70,69,64,75,65,73,50,64
16755,Kaleem Simon,52,54,14,15,11,70,73,71,60,70,71,52,44,49,53,32
3121,Jérémy Perbet,65,53,13,15,24,58,53,67,70,56,63,68,76,71,82,36
1399,Pontus Jansson,65,59,79,75,76,55,69,65,90,34,55,55,70,68,29,40
14805,Rai Simons,47,61,24,24,29,77,76,68,70,66,68,62,50,65,59,45
13733,Ahmad Mohammed Abbas,57,53,53,50,62,50,61,65,83,66,68,70,51,60,58,61
11049,Claudio Jopia,65,68,63,61,56,72,71,79,73,69,68,63,57,55,44,32
16327,Sammy Skytte,57,53,48,52,59,57,59,65,78,48,56,56,55,52,43,30
3475,Gervasio Núñez,70,75,29,34,48,76,79,74,76,59,78,72,37,73,64,66
14403,Kim Young Chan,42,37,59,56,50,78,66,57,74,40,67,77,62,40,19,29
15363,Bae Seung Jin,57,56,60,62,60,56,67,66,69,63,63,75,58,29,24,27
12241,Ali Ahmed Al Zaqan,64,66,19,16,17,86,85,65,61,70,78,76,55,64,65,53
7135,Bjørn Paulsen,69,63,61,64,63,69,69,74,81,55,59,58,72,70,66,63
12467,Gary Miller,61,59,63,58,58,64,70,71,71,73,70,60,57,49,29,20
5593,Ahmed Duiedar,32,38,69,73,65,69,66,78,73,65,51,72,71,42,34,27
16908,Liam Burt,46,47,33,40,20,72,75,41,44,65,63,55,44,43,51,42
6888,Eduardo,73,70,40,58,32,61,68,51,57,71,66,52,53,59,54,61
14879,Smail Prevljak,60,58,18,12,11,68,64,63,60,65,70,66,55,65,58,31
2803,Jakub Brabec,68,59,72,72,66,60,67,72,76,52,61,75,73,67,42,29
